mean_rr;std_rr;rmssd;nn50;pnn50;ritmo
0.6960000000000001;0.08994072121866342;0.14510685717773644;4;66.66666666666666;0
0.6362857142857143;0.11341165760905114;0.17385242784231303;5;71.42857142857143;0
0.9007999999999999;0.17994043458878273;0.3207834160301931;4;80.0;0
0.6713333333333332;0.10611733547771018;0.1614905569994729;4;66.66666666666666;0
0.6566666666666666;0.1050312122921351;0.1708215443086732;5;83.33333333333334;0
0.9551999999999999;0.07748651495582959;0.14107799261401477;3;60.0;0
0.6654285714285714;0.06841649162687762;0.050695167422546324;3;42.857142857142854;0
0.6562857142857143;0.13289062558114073;0.25082530441192197;6;85.71428571428571;0
0.6874285714285715;0.19197533855223411;0.23673332394630606;5;71.42857142857143;0
0.7243333333333334;0.18427666398350306;0.2715437349673161;4;66.66666666666666;0
0.9039999999999999;0.2083573852782761;0.31331932592803774;2;40.0;0
0.8956;0.23076360198263507;0.4415574707781537;4;80.0;0
0.7136666666666667;0.18216628545248312;0.23881373494839028;4;66.66666666666666;0
0.8676;0.10951091269823296;0.16962016389568785;3;60.0;0
0.6885714285714286;0.25691291306191516;0.3463100730077984;6;85.71428571428571;0
0.7236;0.11806709956630591;0.16469972677572964;3;60.0;0
0.826;0.16192343869866402;0.3123059397449879;4;80.0;0
0.8455999999999999;0.20915219339036345;0.36492327960819376;2;40.0;0
0.7826666666666667;0.23857540154471543;0.4822696341259731;5;83.33333333333334;0
0.7543333333333333;0.18527607029031629;0.23181716933825242;4;66.66666666666666;0
0.6722857142857143;0.0891639169262581;0.13635003972618906;5;71.42857142857143;0
0.783;0.15786808839449892;0.19543182954677574;3;50.0;0
0.6673333333333332;0.09422431863495868;0.14970905116258001;5;83.33333333333334;0
0.7119999999999999;0.07217571151941166;0.11081877097315239;4;66.66666666666666;0
0.85;0.1841260437852288;0.3069885991368409;3;60.0;0
1.04;0.11621531740695804;0.2232517263837692;2;50.0;0
0.7426666666666667;0.12730366146432015;0.19435843176975887;3;50.0;0
0.7683333333333334;0.15276743399327256;0.2191273602268781;4;66.66666666666666;0
